0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
103507,5,4,831,2,3,3,1,1,1,3,2,1,4,0,58,232,226
103507,5,5,831,2,3,3,0,1,1,3,2,1,4,0,232,226,286
103507,5,6,831,2,3,3,1,1,1,3,2,1,4,0,226,286,297
103507,5,7,831,2,3,3,1,3,1,1,2,1,4,0,286,297,355
103507,5,8,831,2,3,3,1,1,1,3,2,1,4,0,297,355,442
103507,5,9,831,2,3,3,1,1,1,1,2,1,4,0,355,442,1050
103507,5,10,831,2,3,3,0,1,1,3,2,1,4,0,442,1050,481
103507,5,11,831,2,3,3,1,1,1,3,2,1,4,0,1050,481,1433
103507,6,2,831,2,3,4,0,1,1,3,2,1,4,0,993,953,650
103507,6,3,831,2,3,4,1,3,1,3,2,1,4,0,953,650,145
103507,6,4,831,2,3,3,1,1,1,1,2,1,4,0,650,145,772
103507,6,5,831,2,3,3,1,1,1,1,2,1,4,0,145,772,829
103507,6,6,831,2,3,4,0,1,1,1,2,1,4,0,772,829,378
103507,6,7,831,2,3,4,0,1,1,1,2,1,4,0,829,378,406
103507,6,8,831,2,3,4,0,1,1,1,2,1,4,0,378,406,684
103507,6,9,831,2,3,3,1,1,1,1,2,1,4,0,406,684,632
103507,6,10,831,2,3,3,1,1,1,1,2,1,4,0,684,632,876
103507,6,11,831,2,3,3,0,1,1,1,2,1,4,0,632,876,1653
103507,7,2,831,2,3,3,1,1,1,1,2,1,4,0,499,435,371
103507,7,3,831,2,3,3,1,1,1,1,2,1,4,0,435,371,290
103507,7,4,831,2,3,3,0,1,1,1,2,1,4,0,371,290,429
103507,7,5,831,2,3,3,0,1,1,1,2,1,4,0,290,429,371
103507,7,6,831,2,3,3,0,1,1,1,2,1,4,0,429,371,313
103507,7,7,831,2,3,3,0,1,1,1,2,1,4,0,371,313,180
103507,7,8,831,2,3,3,1,1,1,1,2,1,4,0,313,180,186
103507,7,9,831,2,3,3,1,1,1,1,2,1,4,0,180,186,180
124140,4,6,783,2,1,3,1,1,1,1,2,1,4,0,15,83,195
124140,4,7,783,2,1,3,1,1,1,1,2,1,4,0,83,195,113
124140,4,8,783,2,1,3,0,1,1,3,2,1,4,0,195,113,174
124140,4,9,783,2,1,3,0,1,1,3,2,1,4,0,113,174,225
124140,4,10,783,2,1,3,1,1,1,1,2,1,4,0,174,225,263
124140,4,11,783,2,1,3,0,1,1,1,2,1,4,0,225,263,248
124140,5,2,783,2,1,3,0,1,1,1,2,1,4,0,286,294,233
124140,5,3,783,2,1,3,0,1,1,1,2,1,4,0,294,233,233
124140,5,4,783,2,1,3,0,1,1,1,2,1,4,0,233,233,338
124140,5,5,783,2,1,3,0,1,1,3,2,1,4,0,233,338,309
124140,5,6,783,2,1,3,0,1,1,1,2,1,4,0,338,309,346
124140,5,7,783,2,1,3,1,1,1,3,2,1,4,0,309,346,316
124140,5,8,783,2,1,3,0,1,1,3,2,1,4,0,346,316,376
124140,5,9,783,2,1,3,0,1,1,3,2,1,4,0,316,376,241
124140,5,10,783,2,1,3,1,1,1,3,2,1,4,0,376,241,271
124140,5,11,783,2,1,3,1,1,1,1,2,1,4,0,241,271,324
124140,6,2,783,2,1,3,0,1,1,1,2,1,4,0,459,354,248
124140,6,3,783,2,1,3,1,1,1,3,2,1,4,0,354,248,324
124140,6,4,783,2,1,3,1,1,1,1,2,1,4,0,248,324,263
124140,6,5,783,2,1,3,1,1,1,1,2,1,4,0,324,263,143
124140,6,6,783,2,1,3,1,1,1,1,2,1,4,0,263,143,211
124140,6,7,783,2,1,3,1,1,1,1,2,1,4,0,143,211,406
124140,6,8,783,2,1,3,0,1,1,1,2,1,4,0,211,406,331
124140,6,9,783,2,1,3,0,1,1,1,2,1,4,0,406,331,293
124140,6,10,783,2,1,3,0,1,1,1,2,1,4,0,331,293,301
124140,6,11,783,2,1,3,0,1,1,1,2,1,4,0,293,301,526
124140,7,2,783,2,1,3,0,1,1,1,2,1,4,0,316,203,210
124140,7,3,783,2,1,3,0,1,1,1,2,1,4,0,203,210,218
124140,7,4,783,2,1,3,0,3,1,1,2,1,4,0,210,218,263
124140,7,5,783,2,1,3,0,1,1,1,2,1,4,0,218,263,256
124140,7,6,783,2,1,3,0,1,1,1,2,1,4,0,263,256,255
124140,7,7,783,2,1,3,0,1,1,1,2,1,4,0,256,255,226
