0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
103507,5,831,2,3,3,1,1,1,3,2,1,4,0,1050,481
103507,6,831,2,3,3,1,1,1,1,2,1,4,0,632,876
124140,4,783,2,1,3,1,1,1,1,2,1,4,0,225,263
124140,5,783,2,1,3,1,1,1,3,2,1,4,0,241,271
124140,6,783,2,1,3,0,1,1,1,2,1,4,0,293,301
125403,2,761,2,2,7,1,1,1,3,2,1,6,2,107,147
125403,3,761,2,2,7,1,1,1,3,2,1,4,2,114,222
125403,4,761,2,2,7,1,1,1,1,2,1,4,2,98,188
125403,5,761,2,2,7,1,1,1,1,2,1,4,2,115,148
125403,6,761,2,2,7,1,1,1,1,2,1,6,2,99,131
136916,2,106,3,5,4,1,1,1,3,2,1,4,0,477,206
136916,3,106,3,5,4,1,1,1,3,2,1,4,0,546,452
136916,4,106,3,5,4,1,1,1,3,2,1,4,0,307,256
136916,5,106,3,5,4,1,1,1,1,2,1,4,0,239,247
136916,6,106,3,5,4,1,1,1,1,2,1,4,0,180,213
175962,3,750,3,4,3,1,1,1,3,2,1,4,0,340,513
175962,4,750,3,4,3,1,1,1,3,2,1,4,0,657,442
175962,5,750,3,4,3,1,1,1,1,2,1,4,0,411,269
175962,6,750,3,4,3,1,1,1,1,2,1,4,0,269,411
178529,2,98,1,1,0,1,2,1,3,2,1,4,2,742,872
178529,3,98,1,1,0,1,2,1,3,2,1,4,2,884,730
178529,4,98,1,1,0,1,2,1,3,2,1,4,2,491,513
178529,5,98,1,1,0,1,2,1,3,2,1,4,2,479,399
178529,6,98,1,1,0,1,2,1,1,2,1,4,2,223,222
186250,6,761,2,2,3,1,1,1,1,2,1,4,0,224,274
194450,2,836,2,3,4,1,1,1,3,2,1,4,0,42,95
194450,3,836,2,3,4,1,1,1,1,2,1,4,0,30,30
194450,4,836,2,3,4,1,1,1,3,2,1,4,0,36,24
194450,5,836,2,3,4,0,3,1,3,2,1,4,0,131,178
